ApplicationType_Limit raise,ApplicationType_New credit,LoanGoal_Car,LoanGoal_Caravan / Camper,LoanGoal_Existing loan takeover,LoanGoal_Extra spending limit,LoanGoal_Home improvement,LoanGoal_Motorcycle,LoanGoal_Not speficied,LoanGoal_Other see explanation,LoanGoal_Remaining debt home,LoanGoal_Unknown,LoanGoal_other,RequestedAmount,CreditScore,timesincefirstcase,duration,FirstWithdrawalAmount,MonthlyCost,NumberOfTerms,OfferedAmount,open_cases,month,weekday,hour,treatment
0,1,0,0,0,0,0,0,1,0,0,0,0,5000.0,899,0.390302,6.615548,5000.0,153.68,36,5000.0,114,1,0,8,0
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,899,0.394082,31.487313,8304.0,150.0,127,15000.0,54,1,5,15,0
0,1,0,0,1,0,0,0,0,0,0,0,0,15000.0,1004,0.474426,12.724751,12150.0,150.0,127,15000.0,494,1,4,8,0
0,1,0,0,0,0,0,0,1,0,0,0,0,17000.0,875,0.481217,51.534775,8304.0,468.32,60,25000.0,1200,1,0,11,1
0,1,0,0,0,0,1,0,0,0,0,0,0,17000.0,899,0.50434,20.415311,15000.0,274.92,62,15000.0,790,1,2,11,1
0,1,1,0,0,0,0,0,0,0,0,0,0,7000.0,899,0.637202,23.378155,8304.0,247.52,80,0.0,384,1,2,17,0
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,1063,0.962342,11.146515,5000.0,119.02,48,5000.0,795,1,2,9,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,899,0.962365,9.029532,6000.0,284.0,57,14200.0,494,1,4,8,0
0,1,1,0,0,0,0,0,0,0,0,0,0,10000.0,899,0.972826,57.909002,8304.0,120.0,58,6000.0,27,1,5,9,0
0,1,1,0,0,0,0,0,0,0,0,0,0,7500.0,899,0.98112,5.172226,8304.0,200.0,42,7500.0,120,1,0,8,0
0,1,1,0,0,0,0,0,0,0,0,0,0,12000.0,899,0.983201,57.898641,12000.0,298.1,45,12000.0,146,1,0,11,0
0,1,0,0,0,0,1,0,0,0,0,0,0,6000.0,899,0.987453,55.90472,8304.0,247.52,80,0.0,432,1,3,12,0
0,1,1,0,0,0,0,0,0,0,0,0,0,6000.0,899,1.017047,30.376993,6000.0,148.24,46,6000.0,118,1,0,8,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,809,1.02439,24.979565,27000.0,402.36,78,27000.0,1086,1,4,9,1
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,899,1.052359,46.196623,8304.0,150.0,127,15000.0,1786,2,0,13,1
0,1,0,1,0,0,0,0,0,0,0,0,0,6600.0,1018,1.054734,6.205362,8304.0,140.0,87,10000.0,510,1,4,12,1
0,1,1,0,0,0,0,0,0,0,0,0,0,20000.0,812,1.064141,13.024094,20000.0,200.0,127,20000.0,796,1,2,9,0
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,899,1.066511,57.815493,13164.0,282.96,60,15000.0,124,1,0,9,0
0,1,1,0,0,0,0,0,0,0,0,0,0,20000.0,899,1.070039,12.155672,20000.0,200.0,127,20000.0,797,1,2,14,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,895,1.089532,16.028076,8304.0,200.0,57,10000.0,790,1,2,13,1
0,1,1,0,0,0,0,0,0,0,0,0,0,6000.0,899,1.092527,9.95208,8304.0,250.0,26,6000.0,647,1,0,9,1
1,0,0,0,1,0,0,0,0,0,0,0,0,9000.0,899,1.106527,9.99243,1500.0,150.0,72,9000.0,639,1,0,8,0
1,0,0,0,0,0,0,0,0,1,0,0,0,15000.0,859,1.113769,8.916884,8304.0,200.0,89,15000.0,495,1,4,8,0
1,0,0,0,0,0,1,0,0,0,0,0,0,15000.0,899,1.116323,12.827996,8304.0,300.0,56,15000.0,792,1,2,10,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,899,1.127315,32.754139,8304.0,200.0,57,10000.0,495,1,4,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,15400.0,933,1.133141,29.796835,4254.0,301.97,66,17400.0,1313,1,4,9,1
1,0,0,0,0,0,1,0,0,0,0,0,0,42000.0,899,1.13343,26.97016,8304.0,500.0,102,42000.0,1285,1,3,7,1
1,0,0,0,0,0,1,0,0,0,0,0,0,15000.0,899,1.136077,13.039603,2500.0,150.0,127,15000.0,129,1,0,9,0
1,0,0,0,0,0,0,0,0,1,0,0,0,20000.0,662,1.139245,12.795189,3000.0,400.0,56,20000.0,791,1,2,12,1
1,0,1,0,0,0,0,0,0,0,0,0,0,15000.0,899,1.143945,9.069732,4500.0,200.0,89,15000.0,525,1,4,13,1
0,1,1,0,0,0,0,0,0,0,0,0,0,10000.0,860,1.168829,19.71682,5185.0,110.7,120,10000.0,1015,1,0,13,1
0,1,0,0,0,0,1,0,0,0,0,0,0,40000.0,938,1.175548,19.96046,8304.0,400.0,126,40000.0,1095,1,4,12,0
0,1,1,0,0,0,0,0,0,0,0,0,0,11000.0,899,1.207076,57.675146,11000.0,248.87,50,11000.0,130,1,0,9,0
0,1,0,0,0,0,0,0,0,1,0,0,0,40000.0,899,1.214216,30.667248,8304.0,400.0,126,40000.0,1493,2,1,7,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,899,1.218189,12.817215,500.0,250.0,82,17500.0,818,1,3,9,0
0,1,0,0,0,0,1,0,0,0,0,0,0,40000.0,796,1.221181,11.963479,40000.0,418.37,120,40000.0,668,1,0,12,1
1,0,1,0,0,0,0,0,0,0,0,0,0,15000.0,899,1.23947,9.019492,8304.0,200.0,89,15000.0,506,1,4,10,0
0,1,0,0,1,0,0,0,0,0,0,0,0,15000.0,899,1.268695,34.621048,8304.0,200.0,89,15000.0,380,1,2,16,0
0,1,0,0,1,0,0,0,0,0,0,0,0,8000.0,899,1.272102,57.610056,5140.0,357.06,24,8000.0,188,1,0,17,0
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,1011,1.275989,10.730739,5500.0,124.2,51,5500.0,787,1,2,8,1
0,1,0,0,0,0,1,0,0,0,0,0,0,7500.0,976,1.288571,19.656703,7500.0,85.89,120,7500.0,819,1,3,10,1
0,1,1,0,0,0,0,0,0,0,0,0,0,13000.0,659,1.296207,9.72401,13500.0,149.44,120,13500.0,645,1,0,9,1
0,1,0,0,1,0,0,0,0,0,0,0,0,15000.0,899,1.317721,32.563831,8304.0,500.0,32,15000.0,171,1,0,14,0
0,1,0,0,0,0,1,0,0,0,0,0,0,27000.0,804,1.364781,12.883084,50000.0,500.0,126,50000.0,817,1,3,8,1
0,1,0,0,1,0,0,0,0,0,0,0,0,25000.0,808,1.386736,16.669064,5000.0,250.0,126,25000.0,313,1,1,19,0
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,1090,1.402716,11.800391,5000.0,153.68,36,5000.0,817,1,3,13,1
0,1,1,0,0,0,0,0,0,0,0,0,0,17000.0,899,1.427523,57.45476,17000.0,255.61,78,17000.0,495,1,4,8,0
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,899,1.436983,57.445261,8304.0,283.0,60,15000.0,153,1,0,12,0
0,1,0,0,0,0,1,0,0,0,0,0,0,5000.0,899,1.461132,33.740258,5000.0,153.68,36,5000.0,1003,1,0,10,1
0,1,0,0,0,0,1,0,0,0,0,0,0,5000.0,899,1.496456,57.38595,5000.0,74.71,84,5000.0,269,1,1,14,0
0,1,1,0,0,0,0,0,0,0,0,0,0,8500.0,894,1.520942,12.747033,8500.0,167.07,60,8500.0,791,1,2,12,1
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,955,1.72282,12.315986,8304.0,300.0,56,15000.0,146,1,0,11,0
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899,1.924605,79.368349,8304.0,120.0,134,12000.0,816,1,3,8,1
0,1,0,0,0,0,0,0,0,0,0,0,1,7500.0,899,1.93811,33.95174,8304.0,150.0,58,7500.0,332,1,2,8,0
0,1,0,0,0,0,0,0,0,1,0,0,0,20000.0,972,1.950886,15.214889,8304.0,250.0,126,25000.0,148,1,0,11,0
0,1,0,0,1,0,0,0,0,0,0,0,0,12500.0,899,1.96917,9.07898,3500.0,330.34,42,12500.0,657,1,0,10,1
0,1,0,0,0,0,1,0,0,0,0,0,0,24000.0,899,2.004315,56.878219,22000.0,415.01,60,22000.0,178,1,0,15,0
0,1,1,0,0,0,0,0,0,0,0,0,0,6750.0,1108,2.005259,10.226958,8304.0,136.0,58,6800.0,146,1,0,11,0
0,1,0,0,1,0,0,0,0,0,0,0,0,8300.0,1063,2.005373,10.23041,8304.0,168.0,57,8300.0,793,1,2,10,0
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899,2.019112,36.904846,5000.0,98.28,60,5000.0,789,1,2,11,1
0,1,0,0,0,0,1,0,0,0,0,0,0,8000.0,1004,2.03276,12.170397,8000.0,125.0,77,8000.0,790,1,2,12,1
0,1,1,0,0,0,0,0,0,0,0,0,0,6000.0,899,2.047124,8.939644,7500.0,175.0,127,17500.0,187,1,0,16,0
0,1,0,0,0,0,0,0,1,0,0,0,0,9000.0,873,2.099185,10.113834,3000.0,200.0,51,9000.0,787,1,2,8,1
0,1,0,0,0,0,1,0,0,0,0,0,0,22000.0,899,2.117575,80.763906,8304.0,247.52,80,0.0,177,1,0,15,0
0,1,0,0,0,0,0,0,0,1,0,0,0,10500.0,956,2.121986,18.805699,10445.35,169.1,84,11600.0,681,1,0,14,1
0,1,0,0,0,0,1,0,0,0,0,0,0,35000.0,899,2.174044,8.808559,35000.0,366.08,120,35000.0,176,1,0,15,0
0,1,1,0,0,0,0,0,0,0,0,0,0,10000.0,1016,2.197669,9.973157,10000.0,198.75,58,10000.0,790,1,2,11,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,1078,2.238924,21.973125,8304.0,250.0,22,5000.0,856,1,4,13,1
0,1,0,0,0,0,1,0,0,0,0,0,0,25000.0,899,2.263292,32.618049,25000.0,261.48,120,25000.0,290,1,1,16,0
0,1,0,0,1,0,0,0,0,0,0,0,0,11000.0,853,2.290391,18.641032,8805.0,212.33,60,11000.0,1098,1,2,14,1
0,1,0,1,0,0,0,0,0,0,0,0,0,15000.0,1034,2.307409,10.894253,15000.0,282.96,60,15000.0,824,1,3,14,1
0,1,0,0,1,0,0,0,0,0,0,0,0,15000.0,899,2.331586,15.633032,8304.0,150.0,127,15000.0,1046,1,1,9,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,831,2.369995,31.936607,10000.0,108.81,120,10000.0,1559,2,3,8,1
0,1,1,0,0,0,0,0,0,0,0,0,0,13500.0,899,2.374321,56.508466,13000.0,274.91,54,13000.0,207,1,0,19,0
0,1,0,0,0,0,0,0,0,1,0,0,0,5000.0,787,2.392283,10.484036,5000.0,57.26,120,5000.0,303,1,1,18,0
0,1,0,0,0,0,0,0,0,1,0,0,0,5000.0,899,2.394938,31.486413,8304.0,150.0,37,5000.0,495,1,4,9,0
0,1,0,0,0,0,0,0,1,0,0,0,0,5000.0,793,2.397003,8.704093,6368.0,326.98,51,15000.0,505,1,4,9,1
0,1,1,0,0,0,0,0,0,0,0,0,0,12000.0,756,2.400179,59.802382,12000.0,247.64,55,12000.0,1652,2,0,11,1
0,1,1,0,0,0,0,0,0,0,0,0,0,25000.0,956,2.400958,14.472764,25000.0,468.32,60,25000.0,853,1,4,12,1
0,1,1,0,0,0,0,0,0,0,0,0,0,10750.0,682,2.407917,11.699708,4088.0,172.71,75,10800.0,790,1,2,12,1
0,1,0,0,0,0,1,0,0,0,0,0,0,50000.0,899,2.427395,18.525795,8304.0,500.0,126,50000.0,788,1,2,9,1
0,1,1,0,0,0,0,0,0,0,0,0,0,33800.0,899,2.430539,9.759536,8304.0,633.0,60,33800.0,748,1,1,15,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5500.0,886,2.44502,10.763042,5500.0,245.48,24,5500.0,815,1,3,11,1
0,1,0,0,1,0,0,0,0,0,0,0,0,27400.0,827,2.447835,56.687966,414.0,350.46,96,28000.0,820,1,3,15,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899,2.472055,56.410913,5000.0,149.93,37,5000.0,197,1,0,18,0
0,1,0,0,0,0,0,0,0,1,0,0,0,12000.0,889,2.479873,15.604232,12000.0,231.64,60,12000.0,789,1,2,9,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,899,2.480668,56.402253,10000.0,121.77,120,11000.0,495,1,4,8,0
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899,2.508577,2.839862,5000.0,181.46,30,5000.0,204,1,0,19,0
0,1,0,0,0,0,0,0,0,1,0,0,0,50000.0,899,2.608769,24.690888,50000.0,500.0,126,50000.0,1092,1,2,12,1
0,1,0,0,0,0,1,0,0,0,0,0,0,50000.0,899,2.729731,9.295454,8304.0,500.0,126,50000.0,254,1,1,12,0
0,1,0,0,1,0,0,0,0,0,0,0,0,50000.0,899,2.75724,18.501691,23837.0,522.97,120,50000.0,1044,1,1,9,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,899,2.877465,25.310859,7000.0,137.59,60,7000.0,209,1,0,19,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,943,2.882234,49.356458,5000.0,119.02,48,5000.0,110,1,0,7,1
0,1,0,0,0,0,1,0,0,0,0,0,0,5000.0,806,2.902841,21.319605,1500.0,100.0,58,5000.0,1047,1,1,13,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1063,2.928541,18.026416,170.0,398.1,18,6800.0,637,1,0,8,1
0,1,1,0,0,0,0,0,0,0,0,0,0,24000.0,953,2.933382,14.982367,14871.0,468.32,60,25000.0,822,1,3,14,1
0,1,1,0,0,0,0,0,0,0,0,0,0,9000.0,899,2.942691,55.940418,8304.0,247.52,80,0.0,233,1,1,8,0
1,0,0,1,0,0,0,0,0,0,0,0,0,25000.0,899,2.947842,22.150509,4000.0,250.0,126,25000.0,1197,1,0,12,0
0,1,0,0,1,0,0,0,0,0,0,0,0,8000.0,899,2.948825,7.201765,1000.0,60.0,138,6000.0,293,1,1,16,0
0,1,0,0,0,0,0,0,0,1,0,0,0,6000.0,871,2.950741,7.079366,590.0,200.0,33,6000.0,495,1,4,8,0
1,0,1,0,0,0,0,0,0,0,0,0,0,20000.0,899,2.950785,7.221205,10000.0,375.0,60,20000.0,650,1,0,9,0
1,0,0,0,0,0,1,0,0,0,0,0,0,10000.0,904,2.957435,10.997855,8304.0,200.0,57,10000.0,791,1,2,10,1
0,1,0,0,0,0,0,0,0,0,1,0,0,11000.0,899,2.958486,55.924732,11000.0,119.69,120,11000.0,1311,1,4,10,0
0,1,0,0,0,0,1,0,0,0,0,0,0,5000.0,899,2.9624,55.920812,5000.0,84.5,72,5000.0,241,1,1,10,0
1,0,0,0,0,0,0,0,0,1,0,0,0,50000.0,899,2.962908,17.132527,8304.0,1000.0,56,50000.0,579,1,5,15,0
1,0,0,0,1,0,0,0,0,0,0,0,0,10000.0,899,2.965222,23.199555,4000.0,100.0,134,10000.0,667,1,0,12,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,837,2.96883,17.947898,5163.0,250.14,120,23600.0,818,1,3,9,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,899,2.974328,27.962009,8304.0,250.0,126,25000.0,129,1,0,9,1
1,0,0,0,0,0,0,0,0,1,0,0,0,7000.0,899,2.974839,46.256501,1000.0,550.0,14,7000.0,790,1,2,13,1
1,0,0,0,0,0,1,0,0,0,0,0,0,30000.0,899,2.976434,3.114814,8304.0,300.0,126,30000.0,295,1,1,16,0
1,0,1,0,0,0,0,0,0,0,0,0,0,30000.0,844,2.980824,8.161842,8304.0,450.0,77,30000.0,640,1,0,8,0
1,0,0,0,0,0,0,0,0,0,1,0,0,30000.0,899,2.981093,44.153413,8304.0,400.0,103,34000.0,1128,1,3,13,1
0,1,0,0,1,0,0,0,0,0,0,0,0,20600.0,859,2.990822,64.079572,361.85,216.42,120,20600.0,1312,1,4,10,0
0,1,0,1,0,0,0,0,0,0,0,0,0,15000.0,951,2.993762,10.98093,8304.0,250.0,69,15000.0,501,1,4,9,0
0,1,0,0,0,0,0,0,1,0,0,0,0,15000.0,1023,2.996474,11.214337,8304.0,200.0,89,15000.0,161,1,0,13,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,869,2.9997,17.883829,8304.0,403.81,77,26800.0,737,1,1,9,1
1,0,0,0,0,1,0,0,0,0,0,0,0,22000.0,899,3.010699,10.106522,2000.0,220.0,127,22000.0,817,1,3,12,0
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,979,3.013431,9.031431,15000.0,300.0,56,15000.0,281,1,1,15,0
1,0,0,0,0,0,0,0,0,1,0,0,0,23500.0,899,3.018939,9.915406,3500.0,500.0,52,23500.0,790,1,2,12,1
1,0,1,0,0,0,0,0,0,0,0,0,0,10000.0,899,3.024671,7.970957,8304.0,120.0,134,12000.0,234,1,1,9,0
1,0,1,0,0,0,0,0,0,0,0,0,0,25000.0,899,3.028145,30.149969,8304.0,250.0,126,25000.0,1493,2,1,8,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,899,3.033013,53.969153,8304.0,240.0,127,24000.0,1556,2,3,9,1
1,0,0,0,0,0,0,0,0,1,0,0,0,6000.0,899,3.034482,31.846876,8304.0,100.0,72,6000.0,554,1,5,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,16000.0,859,3.036443,8.956704,8304.0,320.0,56,16000.0,241,1,1,10,0
0,1,0,0,0,0,0,0,0,1,0,0,0,15000.0,1064,3.03718,8.200058,15000.0,300.0,56,15000.0,737,1,1,10,1
0,1,0,0,0,0,0,0,1,0,0,0,0,10000.0,899,3.047435,17.321613,8000.0,200.0,45,8000.0,992,1,0,9,1
0,1,0,0,0,0,1,0,0,0,0,0,0,20000.0,899,3.053718,31.827752,8304.0,400.0,126,40000.0,236,1,1,9,0
0,1,0,0,1,0,0,0,0,0,0,0,0,43000.0,899,3.057207,9.078646,8304.0,449.75,120,43000.0,297,1,1,17,0
0,1,0,0,0,0,1,0,0,0,0,0,0,30000.0,899,3.060664,31.820845,8304.0,300.0,126,30000.0,241,1,1,10,0
0,1,0,0,0,0,1,0,0,0,0,0,0,15000.0,811,3.069594,17.194595,15000.0,150.0,127,15000.0,1095,1,2,13,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10500.0,899,3.073434,23.856062,4000.0,200.0,61,10500.0,855,1,4,10,1
0,1,0,0,1,0,0,0,0,0,0,0,0,30000.0,887,3.081363,7.195046,2500.0,300.0,126,30000.0,642,1,0,8,1
0,1,0,0,0,0,0,0,0,1,0,0,0,5500.0,899,3.085065,25.919546,5500.0,474.16,12,5500.0,1336,1,5,9,0
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,899,3.089936,2.07255,8800.0,172.97,60,8800.0,242,1,1,10,0
0,1,1,0,0,0,0,0,0,0,0,0,0,8000.0,1033,3.097098,7.125385,8000.0,80.0,138,8000.0,640,1,0,8,1
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,869,3.109576,10.900206,15000.0,300.0,56,15000.0,816,1,3,10,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1010,3.114329,17.820812,6000.0,303.56,21,6000.0,643,1,0,9,1
0,1,0,0,0,0,1,0,0,0,0,0,0,15000.0,1006,3.116253,25.008718,15000.0,200.1,90,15000.0,999,1,0,9,1
0,1,1,0,0,0,0,0,0,0,0,0,0,11800.0,899,3.121649,4.127767,10000.0,110.7,120,10000.0,515,1,4,13,1
0,1,0,0,0,0,0,1,0,0,0,0,0,7500.0,899,3.125347,55.756425,7500.0,147.42,60,7500.0,241,1,1,10,0
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899,3.126837,8.030507,5000.0,99.68,59,5000.0,416,1,3,9,0
1,0,1,0,0,0,0,0,0,0,0,0,0,26000.0,899,3.140147,42.905826,8304.0,300.0,106,26000.0,563,1,5,11,0
0,1,0,0,0,0,1,0,0,0,0,0,0,15000.0,1021,3.146749,16.977391,8304.0,150.0,127,15000.0,1023,1,0,15,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899,3.151576,55.730158,5000.0,119.02,48,5000.0,251,1,1,11,0
0,1,0,0,0,0,0,0,0,0,1,0,0,40000.0,920,3.152336,17.748242,40000.0,749.32,60,40000.0,1042,1,1,12,1
0,1,0,0,0,0,1,0,0,0,0,0,0,18000.0,899,3.154849,55.726864,8625.0,539.35,36,18000.0,495,1,4,9,0
0,1,0,0,1,0,0,0,0,0,0,0,0,19500.0,899,3.158557,55.723165,9380.0,554.11,38,19500.0,1312,1,4,10,0
0,1,0,0,1,0,0,0,0,0,0,0,0,18000.0,980,3.167101,15.730643,8304.0,400.0,56,20000.0,856,1,4,9,1
0,1,0,0,0,0,1,0,0,0,0,0,0,20000.0,899,3.173172,55.70853,20000.0,347.09,66,20000.0,175,1,0,15,0
0,1,0,0,0,0,0,0,0,1,0,0,0,20000.0,884,3.177825,14.710736,15000.0,300.0,78,20000.0,814,1,3,13,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,899,3.189007,30.692382,8304.0,100.0,86,7000.0,176,1,0,15,0
0,1,0,0,0,0,0,0,0,0,0,0,1,40000.0,899,3.190264,31.691116,40000.0,418.37,120,40000.0,263,1,1,13,0
1,0,1,0,0,0,0,0,0,0,0,0,0,18000.0,899,3.1967,31.684663,8304.0,350.0,58,18000.0,312,1,1,19,0
1,0,0,0,0,0,1,0,0,0,0,0,0,20000.0,899,3.200597,13.799743,2000.0,400.0,56,20000.0,306,1,1,19,0
1,0,0,0,0,0,0,0,0,1,0,0,0,35000.0,862,3.201773,10.897405,1000.0,401.0,126,40100.0,670,1,0,12,1
1,0,0,0,0,0,1,0,0,0,0,0,0,30000.0,899,3.202873,9.676487,8304.0,325.0,126,32500.0,789,1,2,11,1
0,1,1,0,0,0,0,0,0,0,0,0,0,16000.0,899,3.212616,8.721468,15000.0,282.96,60,15000.0,741,1,1,12,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,899,3.216658,30.664681,8304.0,60.0,138,6000.0,1569,2,3,7,0
0,1,0,0,0,0,1,0,0,0,0,0,0,15000.0,899,3.223076,55.658571,15000.0,282.96,60,15000.0,308,1,1,19,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,884,3.235366,17.641911,317.94,244.84,120,23100.0,788,1,2,9,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,868,3.247283,9.708485,3000.0,150.0,127,15000.0,790,1,2,12,0
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899,3.251558,55.630056,5000.0,184.42,36,6000.0,390,1,2,19,0
0,1,0,0,0,0,1,0,0,0,0,0,0,6000.0,899,3.254577,6.918298,6000.0,351.27,18,6000.0,634,1,0,8,0
0,1,0,0,0,0,1,0,0,0,0,0,0,18000.0,1004,3.259265,17.661282,18000.0,289.76,72,18000.0,742,1,1,12,1
0,1,0,0,0,0,0,0,0,0,0,0,1,18500.0,794,3.269962,9.708796,18500.0,400.0,52,18500.0,794,1,2,9,0
0,1,0,0,0,0,1,0,0,0,0,0,0,25000.0,838,3.274001,22.701474,25000.0,261.48,120,25000.0,978,1,0,7,1
0,1,0,0,0,0,1,0,0,0,0,0,0,30000.0,943,3.274454,52.659786,8304.0,366.08,120,35000.0,1239,1,1,10,1
0,1,0,0,1,0,0,0,0,0,0,0,0,5000.0,743,3.276636,13.763462,5075.75,119.54,84,8000.0,790,1,2,12,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899,3.293508,1.66401,5000.0,223.16,24,5000.0,336,1,2,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,21800.0,899,3.294088,32.595831,8304.0,500.0,48,21800.0,376,1,2,15,0
0,1,0,0,0,0,1,0,0,0,0,0,0,35000.0,899,3.308486,31.573072,8304.0,247.52,80,0.0,228,1,1,6,0
0,1,0,0,1,0,0,0,0,0,0,0,0,20000.0,899,3.313353,31.568094,8304.0,450.0,49,20000.0,287,1,1,16,0
0,1,0,0,1,0,0,0,0,0,0,0,0,5000.0,899,3.319493,29.614034,8304.0,250.0,22,5000.0,795,1,2,9,1
1,0,1,0,0,0,0,0,0,0,0,0,0,27000.0,899,3.331705,30.549746,8304.0,300.0,111,27000.0,1566,2,3,7,0
0,1,0,0,0,0,1,0,0,0,0,0,0,5000.0,899,3.338129,55.543384,5000.0,57.26,120,5000.0,281,1,1,15,0
0,1,0,0,1,0,0,0,0,0,0,0,0,32000.0,962,3.342275,14.629256,8304.0,334.7,120,32000.0,282,1,1,15,0
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,918,3.345827,17.598224,10000.0,248.42,45,10000.0,855,1,4,12,1
1,0,0,0,1,0,0,0,0,0,0,0,0,20000.0,899,3.347847,16.688252,8304.0,300.0,78,20000.0,1040,1,1,11,1
